priority,access_method,dataset,local_script,output_file,source_tables,variables,filters,required_for,can_skip,notes
"P1","WRDS SQL (local Python)","IBES EPS adjusted plus actuals","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/IBESEPSAdjusted.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/IBES_EPS_Adj.parquet","ibes.statsum_epsus; ibes.actpsum_epsus","statsum_epsus: fpi, ticker, statpers, fpedats, anndats_act, meanest, actual, medest, stdev, numest; actpsum_epsus: prdays, price, shout","script-side join and cleaning","Adjusted estimate and earnings-streak predictors","No for analyst signals","Keep as-is initially"
"P1","WRDS SQL (local Python)","IBES recommendations","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/IBESRecommendations.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/IBES_Recommendations.parquet","ibes.recddet","ticker, estimid, ereccd, etext, ireccd, itext, emaskcd, amaskcd, anndats, actdats","usfirm='1'","Recommendation level and change predictors","Yes if you do not need recommendation signals","US firms only"
"P1","WRDS SQL (local Python)","IBES unadjusted actuals","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/IBESUnadjustedActuals.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/IBES_UnadjustedActuals.parquet","ibes.actpsumu_epsus","Full table currently selected in code; important downstream fields include ticker, statpers, int0a, fy0a, shout, prdays, fy0edats, int0dats, curr_price, measure, cusip, cname, curcode, oftic","measure='EPS'","Actual-vs-forecast support and related analyst signals","Yes if you omit analyst signals","Prefer full-table pull initially because code expects many fields"
"P2","WRDS SQL (local Python)","Compustat short interest","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/CompustatShortInterest.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/monthlyShortInterest.parquet","comp.sec_shortint_legacy; comp.sec_shortint","gvkey, iid, shortint, shortintadj, datadate","none","Short-interest predictors","Yes","Specialized add-on"
"P2","WRDS SQL (local Python)","Compustat pensions","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/CompustatPensions.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/CompustatPensions.parquet","comp.aco_pnfnda","gvkey, datadate, paddml, pbnaa, pbnvv, pbpro, pbpru, pcupsu, pplao, pplau","none","Pension-related predictors","Yes","Specialized add-on"
"P2","WRDS SQL (local Python)","Compustat business segments","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/CompustatBusinessSegments.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/CompustatSegments.parquet","compseg.wrds_segmerged","gvkey, datadate, stype, sid, sales, srcdate, naicsh, sics1, snms","none","Segment concentration and diversification predictors","Yes","Segment coverage can be sparse"
"P2","WRDS SQL (local Python)","Compustat customer segments","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/CompustatCustomerSegments.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/CompustatSegmentDataCustomers.csv","compseg.wrds_seg_customer","Full table currently selected in code","none","Customer and supplier/customer-chain predictors","Yes","CSV output, not parquet"
"P2","WRDS SQL (local Python)","S&P credit ratings","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/SPCreditRatings.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/m_SP_creditratings.parquet","comp.adsprate","gvkey, datadate, splticrm","none","Credit-rating and junk-related predictors","Yes","Specialized add-on"
"P2","WRDS SQL (local Python)","Capital IQ credit ratings","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/CIQCreditRatings.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/m_CIQ_creditratings.parquet","ciq.wrds_erating; ciq.wrds_irating; ciq.wrds_srating; ciq.ratings_ids","gvkey, ticker, ratingdate, ratingtime, ratingactionword, currentratingsymbol, entity_id/instrument_id/security_id","script-side union/cleaning","Broader rating and downgrade predictors","Yes","Only needed for CIQ-based rating signals"
"P2","WRDS SQL (local Python)","OptionMetrics-CRSP link","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/OptionMetricsCRSPLink.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/OPTIONMETRICSCRSPLinkingTable.parquet","wrdsapps_link_crsp_optionm.opcrsphist","secid, sdate, edate, permno, score","none","Maps options data to permno","Yes unless options signals","SignalMasterTable month-end handling also needed a patch"
"P2","WRDS SQL (local Python)","CRSP acquisitions / spinoffs","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/CRSPAcquisitions.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/m_CRSPAcquisitions.parquet","crsp.msedist","permno, distcd, exdt, acperm","none","Spinoff/acquisition event signal","Yes","Small event table"
"P3","WRDS Cloud prep (R on WRDS)","OptionMetrics vol surface prep","Open_Source_Asset_Pricing/Signals/pyCode/PrepScripts/OptionMetricsVolSurf.R","Open_Source_Asset_Pricing/Signals/pyData/Prep/OptionMetricsVolSurf.csv","optionm.vsurfdYYYY","secid, date, days, cp_flag, delta, impl_volatility","impl_volatility non-missing; abs(delta)=50; days in (30,91)","SmileSlope, dVolCall, dVolPut, dCPVolSpread","Yes unless options signals","Must run on WRDS Cloud via prep script or equivalent local R setup"
"P3","WRDS Cloud prep (R on WRDS)","OptionMetrics volume prep","Open_Source_Asset_Pricing/Signals/pyCode/PrepScripts/OptionMetricsVolume.R","Open_Source_Asset_Pricing/Signals/pyData/Prep/OptionMetricsVolume.csv","optionm.opprcdYYYY","secid, optionid, date, exdate, volume","volume>0 and maturity-window filters in script","OptionVolume predictors","Yes unless options signals","Long-running WRDS Cloud job"
"P3","WRDS Cloud prep (R on WRDS)","OptionMetrics XZZ prep","Open_Source_Asset_Pricing/Signals/pyCode/PrepScripts/OptionMetricsXZZ.R","Open_Source_Asset_Pricing/Signals/pyData/Prep/OptionMetricsXZZ.csv","optionm.secprdYYYY; optionm.opprcdYYYY","secid, date, close, optionid, cp_flag, strike_price, impl_volatility, exdate, best_bid, best_offer, open_interest, volume","script-side filters","Skew/smirk predictor","Yes unless options signals","Runs on WRDS Cloud"
"P3","WRDS Cloud prep (R on WRDS)","Bali-Hovak implied vol prep","Open_Source_Asset_Pricing/Signals/pyCode/PrepScripts/bali_hovak.R","Open_Source_Asset_Pricing/Signals/pyData/Prep/bali_hovak_imp_vol.csv","optionm.securd; optionm.secprdYYYY; optionm.opprcdYYYY","ticker, secid, date, close, optionid, cp_flag, exdate, strike_price, impl_volatility, best_bid, best_offer, open_interest","script-side filters","CPVolSpread and RIVolSpread predictors","Yes unless options signals","Runs on WRDS Cloud"
"P3","WRDS Cloud prep (SAS on WRDS)","TR 13F institutional holdings prep","Open_Source_Asset_Pricing/Signals/pyCode/PrepScripts/tr13f_pmg_edit.sas","Open_Source_Asset_Pricing/Signals/pyData/Prep/tr_13f.csv","TFN s34type1; TFN s34type3; CRSP merge; crsp.msenames","TFN holdings plus CRSP prc, ret, shrout, cfacpr, cfacshr, ncusip, exchcd, shrcd","script-side filtering and CRSP merge","Institutional ownership and breadth predictors","Yes","Runs on WRDS Cloud"
"P3","WRDS Cloud prep (SAS on WRDS)","Corwin-Schultz spread prep","Open_Source_Asset_Pricing/Signals/pyCode/PrepScripts/corwin_schultz_edit.sas","Open_Source_Asset_Pricing/Signals/pyData/Prep/corwin_schultz_spread.csv","crspa.dsf","permno, date, vol, prc, bidlo, askhi","script-side","BidAskSpread predictor","Yes","Runs on WRDS Cloud"
"P3","WRDS Cloud prep (SAS on WRDS)","HF monthly spread prep","Open_Source_Asset_Pricing/Signals/pyCode/PrepScripts/taq-chen-velikov/*.sas","Open_Source_Asset_Pricing/Signals/pyData/Prep/hf_monthly.csv","TAQ / ISSM WRDS sources via Chen-Velikov scripts","pipeline-specific","script-side","High-frequency spread add-ons","Yes","Low priority unless you need that family"
"P2","External HTTP (local Python)","IPO dates","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/IPODates.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/IPODates.parquet","Ritter website Excel file","permno, FoundingYear, OfferDate after cleaning/renaming","download from Ritter site","IPO age and related predictors","Yes","Not WRDS"
"P2","External HTTP (local Python)","Governance index","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/GovernanceIndex.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/GovernanceIndex.parquet","Governance.xlsx external workbook","ticker, year, governance columns from workbook","download from external site","Governance predictors","Yes","Not WRDS"
"P2","External HTTP (local Python)","Patent citations","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/PatentCitations.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/PatentDataProcessed.parquet","dynass.dta; cite76_06.dta; pat76_06_assg.dta","NBER patent assignment and citation fields","download from NBER","Patent-based innovation predictors","Yes","Not WRDS"
"P2","External HTTP (local Python)","PIN data","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/PINData.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/pin_monthly.parquet","Dropbox ZIP containing pin_yearly.csv","permno, year, a, eb, es, u, d","download from Dropbox link","PIN/informed trading predictors","Yes","Not WRDS"
"P2","External HTTP (local Python)","BEA input-output tables","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/BEAInputOutput.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/IOMake_Before_Redefinitions_1963-1996_Summary.xlsx; Open_Source_Asset_Pricing/Signals/pyData/Intermediate/IOUse_Before_Redefinitions_PRO_1963-1996_Summary.xlsx; Open_Source_Asset_Pricing/Signals/pyData/Intermediate/Supply_Tables_1997-20XX_Summary.xlsx; Open_Source_Asset_Pricing/Signals/pyData/Intermediate/Supply-Use_Framework_1997-20XX_Summary.xlsx","BEA supply/use workbooks","download from BEA","Customer/supplier input-output momentum family","Yes","Downloads raw Excel workbooks directly; one downstream R predictor intentionally preserves an original bug"
"P2","FRED API / pandas_datareader (local Python)","GNP deflator","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/GNPDeflator.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/GNPdefl.parquet","FRED GNPCTPI","GNPCTPI","none","Macro-conditioned predictors","Yes","Not WRDS"
"P2","FRED API / pandas_datareader (local Python)","3M Treasury bill","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/TreasuryBill3M.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/TBill3M.parquet","FRED TB3MS","TB3MS","none","Macro-conditioned predictors","Yes","Not WRDS"
"P2","FRED API / pandas_datareader (local Python)","Broker-dealer leverage","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/BrokerDealerLeverage.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/brokerLev.parquet","FRED BOGZ1FL664090005Q; BOGZ1FL664190005Q; BOGZ1FL665080003Q","BOGZ1FL664090005Q, BOGZ1FL664190005Q, BOGZ1FL665080003Q","none","Leverage-sensitive predictors","Yes","Not WRDS"
"P2","FRED API / pandas_datareader (local Python)","VIX history","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/VIX.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/d_vix.parquet","FRED VXOCLS; VIXCLS","VXOCLS, VIXCLS","none","Volatility-state predictors","Yes","Not WRDS"
"P2","External HTTP (local Python)","Q-factor model file","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/QFactorModel.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/d_qfactor.parquet","Global-q factor file source used by script","factor file fields used by script","download from external source","Some q-factor related signals","Yes","Not a WRDS dataset"
"P2","WRDS SQL (local Python)","13F wrapper script","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/InstitutionalHoldings13F.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/TR_13F.parquet","Local conversion of prep output","reads tr_13f.csv from Prep folder","depends on Prep file existing","Institutional holdings signals","Yes","Not a direct SQL pull; depends on WRDS Cloud prep output"
"P2","WRDS SQL (local Python)","HF spread wrapper script","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/BidAskSpreads.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/hf_spread.parquet","Local conversion of prep output","reads hf_monthly.csv from Prep folder","depends on Prep file existing","High-frequency spread predictor","Yes","Not a direct SQL pull; depends on WRDS Cloud prep output"
